Date,DMI
01-10-1923,0.636
01-11-1923,0.7
01-12-1923,0.02
01-01-1924,-0.255
01-02-1924,-0.413
01-03-1924,-0.258
01-04-1924,-0.067
01-05-1924,-0.189
01-06-1924,-0.224
01-07-1924,-0.084
01-08-1924,-0.13
01-09-1924,-0.271
01-10-1924,0.174
01-11-1924,-0.131
01-12-1924,-0.135
01-01-1925,-0.131
01-02-1925,0.153
01-03-1925,0.159
01-04-1925,0.673
01-05-1925,0.17
01-06-1925,0.291
01-07-1925,0.131
01-08-1925,0.256
01-09-1925,0.752
01-10-1925,0.466
01-11-1925,0.371
01-12-1925,0.077
01-01-1926,0.178
01-02-1926,-0.178
01-03-1926,0.125
01-04-1926,-0.055
01-05-1926,0.134
01-06-1926,0.348
01-07-1926,0.073
01-08-1926,0.281
01-09-1926,-0.021
01-10-1926,0.252
01-11-1926,-0.228
01-12-1926,-0.188
01-01-1927,-0.018
01-02-1927,0.221
01-03-1927,-0.031
01-04-1927,-0.203
01-05-1927,-0.034
01-06-1927,0.045
01-07-1927,-0.262
01-08-1927,-0.311
01-09-1927,-0.275
01-10-1927,-0.226
01-11-1927,-0.018
01-12-1927,-0.146
01-01-1928,-0.188
01-02-1928,-0.177
01-03-1928,-0.115
01-04-1928,-0.112
01-05-1928,-0.057
01-06-1928,-0.258
01-07-1928,-0.332
01-08-1928,-0.583
01-09-1928,-0.492
01-10-1928,-0.343
01-11-1928,0.067
01-12-1928,-0.138
01-01-1929,-0.095
01-02-1929,-0.172
01-03-1929,-0.069
01-04-1929,-0.023
01-05-1929,-0.143
01-06-1929,-0.039
01-07-1929,-0.086
01-08-1929,-0.191
01-09-1929,0.07
01-10-1929,0.017
01-11-1929,-0.016
01-12-1929,0.201
01-01-1930,-0.239
01-02-1930,-0.332
01-03-1930,-0.148
01-04-1930,-0.054
01-05-1930,-0.231
01-06-1930,0.06
01-07-1930,-0.099
01-08-1930,-0.041
01-09-1930,-0.422
01-10-1930,-0.048
01-11-1930,0.371
01-12-1930,0.114
01-01-1931,0.129
01-02-1931,-0.147
01-03-1931,-0.383
01-04-1931,-0.326
01-05-1931,-0.039
01-06-1931,-0.075
01-07-1931,-0.096
01-08-1931,-0.204
01-09-1931,-0.62
01-10-1931,-0.216
01-11-1931,0.078
01-12-1931,-0.575
01-01-1932,-0.24
01-02-1932,-0.391
01-03-1932,-0.256
01-04-1932,0.073
01-05-1932,-0.153
01-06-1932,-0.174
01-07-1932,0.069
01-08-1932,-0.188
01-09-1932,-0.027
01-10-1932,-0.349
01-11-1932,-0.049
01-12-1932,0.195
01-01-1933,-0.007
01-02-1933,0.094
01-03-1933,0.202
01-04-1933,0.371
01-05-1933,-0.128
01-06-1933,-0.098
01-07-1933,-0.148
01-08-1933,-0.32
01-09-1933,-1.166
01-10-1933,-0.605
01-11-1933,-0.337
01-12-1933,-0.236
01-01-1934,-0.416
01-02-1934,-0.075
01-03-1934,-0.005
01-04-1934,0.063
01-05-1934,0.012
01-06-1934,0.186
01-07-1934,-0.005
01-08-1934,0.281
01-09-1934,-0.114
01-10-1934,0.052
01-11-1934,0.113
01-12-1934,0.068
01-01-1935,0.182
01-02-1935,0.138
01-03-1935,0.281
01-04-1935,-0.032
01-05-1935,0.272
01-06-1935,0.29
01-07-1935,0.354
01-08-1935,0.269
01-09-1935,0.126
01-10-1935,0.061
01-11-1935,0.368
01-12-1935,0.239
01-01-1936,0.256
01-02-1936,-0.207
01-03-1936,-0.052
01-04-1936,0.125
01-05-1936,0.021
01-06-1936,0.265
01-07-1936,0.248
01-08-1936,-0.138
01-09-1936,-0.063
01-10-1936,-0.313
01-11-1936,0.204
01-12-1936,-0.095
01-01-1937,0.069
01-02-1937,-0.052
01-03-1937,-0.104
01-04-1937,-0.221
01-05-1937,0.255
01-06-1937,-0.099
01-07-1937,-0.241
01-08-1937,0.036
01-09-1937,0.297
01-10-1937,0.063
01-11-1937,0.141
01-12-1937,0.088
01-01-1938,0.104
01-02-1938,-0.046
01-03-1938,0.165
01-04-1938,-0.157
01-05-1938,0.23
01-06-1938,-0.192
01-07-1938,-0.308
01-08-1938,0.148
01-09-1938,-0.073
01-10-1938,-0.23
01-11-1938,-0.44
01-12-1938,-0.308
01-01-1939,0.06
01-02-1939,0.387
01-03-1939,0.182
01-04-1939,-0.074
01-05-1939,-0.119
01-06-1939,0.032
01-07-1939,-0.09
01-08-1939,-0.16
01-09-1939,0.092
01-10-1939,0.178
01-11-1939,-0.055
01-12-1939,0.125
01-01-1940,0.267
01-02-1940,-0.038
01-03-1940,-0.303
01-04-1940,-0.289
01-05-1940,-0.244
01-06-1940,0.175
01-07-1940,-0.061
01-08-1940,0.043
01-09-1940,-0.004
01-10-1940,-0.092
01-11-1940,-0.081
01-12-1940,-0.09
01-01-1941,-0.183
01-02-1941,-0.438
01-03-1941,-0.095
01-04-1941,-0.081
01-05-1941,-0.053
01-06-1941,-0.166
01-07-1941,-0.117
01-08-1941,-0.124
01-09-1941,0.049
01-10-1941,0.178
01-11-1941,0.527
01-12-1941,0.041
01-01-1942,-0.006
01-02-1942,-0.111
